"Group ID","Date Scraped","Product name","Price","Rating","Why Choose","Site Score","Market Demand Score","Price Trend","Conclusion"
"490ffbd0e2","April 20, 2025, 7:21 a.m.","ROSMAR Kagayaku Capsule | BUY 1 TAKE 1 | Slimming and Whitening | Anti Aging","345.0","4.74","Rank 1 in Group: This product stood out due to its high rating of 4.74, reflecting strong user satisfaction. It also offers good value at ₱345.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.31","decreasing","Low Priority"
"4d6691236c","April 20, 2025, 7:20 a.m.","ROSMAR Kagayaku 24 Hour Rejuvenating Set | Rejuv","125.0","4.74","Rank 1 in Group: This product stood out due to its high rating of 4.74, reflecting strong user satisfaction. It also offers good value at ₱125.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","3.60","increasing","Low Priority"
"342da589a5","April 20, 2025, 7:19 a.m.","Podesora By Rosmar","2269.52","0.0","Rank 1 in Group: This product stood out due to its high rating of 0.00, reflecting strong user satisfaction. It also offers good value at ₱2,269.52, making it more affordable compared to others in its category. Being listed on eBay, a platform with a trust score of 0.85, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.85","0.00","decreasing","Low Priority"
"4b63ed7f71","April 20, 2025, 7:19 a.m.","Tintado By Rosmar","2269.52","0.0","Rank 1 in Group: This product stood out due to its high rating of 0.00, reflecting strong user satisfaction. It also offers good value at ₱2,269.52, making it more affordable compared to others in its category. Being listed on eBay, a platform with a trust score of 0.85, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.85","0.00","stable","Low Priority"
"504c415156","April 20, 2025, 7:21 a.m.","Buy1 Get1Rosmar Collatint Lip & Cheek Tint w/ cooling effect","91.0","4.74","Rank 1 in Group: This product stood out due to its high rating of 4.74, reflecting strong user satisfaction. It also offers good value at ₱91.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.95","decreasing","Low Priority"
"52e5b1930a","April 20, 2025, 7:20 a.m.","ROSMAR Keramist Hair Perfume w/ Argan Oil Treatment Anti Frizz Anti Dandruff Damage Hair","98.0","4.75","Rank 1 in Group: This product stood out due to its high rating of 4.75, reflecting strong user satisfaction. It also offers good value at ₱98.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.60","stable","Low Priority"
"57a5ab4767","April 20, 2025, 7:20 a.m.","Rosmar Collagen Lip and Tint - Buy 1 Take 1 Collatint (New Packaging)","97.0","4.88","Rank 1 in Group: This product stood out due to its high rating of 4.88, reflecting strong user satisfaction. It also offers good value at ₱97.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.78","stable","Low Priority"
"5a5ab7c47e","April 20, 2025, 7:21 a.m.","Rosmar Bleaching Scrub 100g","100.0","4.73","Rank 1 in Group: This product stood out due to its high rating of 4.73, reflecting strong user satisfaction. It also offers good value at ₱100.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.49","stable","Low Priority"
"5d0d594546","April 20, 2025, 7:20 a.m.","ROSMAR 99 Tone Adapt Sunscreen SPF 50 | 30 ml 99 Pesos Sun Protection Sunblock For All Skin Type","95.0","4.74","Rank 1 in Group: This product stood out due to its high rating of 4.74, reflecting strong user satisfaction. It also offers good value at ₱95.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.74","decreasing","Low Priority"
"5f1858e261","April 20, 2025, 7:20 a.m.","Rosmar Lotion 250ml SPF 60","179.0","4.79","Rank 1 in Group: This product stood out due to its high rating of 4.79, reflecting strong user satisfaction. It also offers good value at ₱179.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","2.54","decreasing","Low Priority"
"6f1ae9bb02","April 20, 2025, 7:20 a.m.","Buy1 Get1 Rosmar New Collatint | 24k Lip &Cheek Serum Long Lasting Pigmented Liptint Lipstick","140.0","4.84","Rank 1 in Group: This product stood out due to its high rating of 4.84, reflecting strong user satisfaction. It also offers good value at ₱140.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","3.28","stable","Low Priority"
"7036067ab0","April 20, 2025, 7:20 a.m.","Buy1 Get 2 Rosmar Kagayaku | Underarm Whitening Cream | Inguinal & Butt Whitening Cream FREE TINTADO","250.0","4.72","Rank 1 in Group: This product stood out due to its high rating of 4.72, reflecting strong user satisfaction. It also offers good value at ₱250.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.79","increasing","Low Priority"
"71ce6ebefb","April 20, 2025, 7:20 a.m.","Rosmar Kagayaku Glutathione Slimming & Whitening Sun Protect 750mg 60 Capsules","199.0","4.75","Rank 1 in Group: This product stood out due to its high rating of 4.75, reflecting strong user satisfaction. It also offers good value at ₱199.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","2.27","stable","Low Priority"
"756b1f4853","April 20, 2025, 7:20 a.m.","Buy1 Get1 | Rosmar 6in1 Hydraglass Skin Set Rejuvenating Rejuv Maintenance Glass Skin Pekas Set","249.0","4.76","Rank 1 in Group: This product stood out due to its high rating of 4.76, reflecting strong user satisfaction. It also offers good value at ₱249.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.82","decreasing","Low Priority"
"6de353e432","April 20, 2025, 7:19 a.m.","Rosmar 24 Karat Lip & Cheek Serum, 5ml","624.12","0.0","Rank 1 in Group: This product stood out due to its high rating of 0.00, reflecting strong user satisfaction. It also offers good value at ₱624.12, making it more affordable compared to others in its category. Being listed on eBay, a platform with a trust score of 0.85, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.85","0.00","stable","Low Priority"
"788deaf69e","April 20, 2025, 7:20 a.m.","Rosmar Kagayaku Facial Whitening Set New and Improved | Maintenance Set","189.0","4.8","Rank 1 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱189.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","2.41","increasing","Low Priority"
"7bc27461f2","April 20, 2025, 7:20 a.m.","BUY1 TAKE 1 - TINTADO BY ROSMAR ROSTHAN NATNAT","100.0","4.4","Rank 1 in Group: This product stood out due to its high rating of 4.40, reflecting strong user satisfaction. It also offers good value at ₱100.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.18","stable","Low Priority"
"7e2b835579","April 20, 2025, 7:20 a.m.","ROSMAR 99 SNAIL WHITE SOAP | 10X INSTANT WHITENING LEGIT AND ORIGINAL REMOVES FRECKLES ACNE PIMPLES","49.0","4.76","Rank 1 in Group: This product stood out due to its high rating of 4.76, reflecting strong user satisfaction. It also offers good value at ₱49.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","9.23","decreasing","Low Priority"
"7e427550c9","April 20, 2025, 7:20 a.m.","Rosmar Milkshake Lip Tint 10ml | Lip and Cheek Tint | Lip Stain","39.0","4.56","Rank 1 in Group: This product stood out due to its high rating of 4.56, reflecting strong user satisfaction. It also offers good value at ₱39.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","11.11","increasing","Low Priority"
"7f2f2abe87","April 20, 2025, 7:20 a.m.","Rosmar Mini Perfume Eau De Parfume Longlasting Travel Size Roll On Perfume Men and Woman","63.0","4.74","Rank 1 in Group: This product stood out due to its high rating of 4.74, reflecting strong user satisfaction. It also offers good value at ₱63.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","7.15","increasing","Low Priority"
"819a8cf3d7","April 20, 2025, 7:19 a.m.","Rosmar Milkshake Liptint (Strawberry)","549.96","0.0","Rank 1 in Group: This product stood out due to its high rating of 0.00, reflecting strong user satisfaction. It also offers good value at ₱549.96, making it more affordable compared to others in its category. Being listed on eBay, a platform with a trust score of 0.85, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.85","0.00","increasing","Low Priority"
"8e6b5f3644","April 20, 2025, 7:20 a.m.","BUY1 TAKE 1 ROSMAR COLLATINT & 24K LIPTINT 5ml","95.0","4.77","Rank 1 in Group: This product stood out due to its high rating of 4.77, reflecting strong user satisfaction. It also offers good value at ₱95.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.77","stable","Low Priority"
"9191a5387e","April 20, 2025, 7:21 a.m.","ROSMAR 99 Tone Adapt Tinted Sunscreen | 99skincare","99.0","4.69","Rank 1 in Group: This product stood out due to its high rating of 4.69, reflecting strong user satisfaction. It also offers good value at ₱99.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.50","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Green Cross Alcohol 70% With Moisturizer Isopropyl 60ml","23.0","4.96","Rank 1 in Group: This product stood out due to its high rating of 4.96, reflecting strong user satisfaction. It also offers good value at ₱23.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","20.49","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","CLEENE Ethyl Alcohol 350ml","83.0","4.93","Rank 2 in Group: This product stood out due to its high rating of 4.93, reflecting strong user satisfaction. It also offers good value at ₱83.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","5.64","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Greencross Alcohol 70% Solution With Moist (trigger Spray) Isopropyl 300ml","92.0","4.93","Rank 3 in Group: This product stood out due to its high rating of 4.93, reflecting strong user satisfaction. It also offers good value at ₱92.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","5.09","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","CLEENE Alcohol 1Ltr Pump","190.0","4.93","Rank 4 in Group: This product stood out due to its high rating of 4.93, reflecting strong user satisfaction. It also offers good value at ₱190.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","2.47","increasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Member's Value 70% Ethyl Alcohol 500mL","70.0","4.91","Rank 5 in Group: This product stood out due to its high rating of 4.91, reflecting strong user satisfaction. It also offers good value at ₱70.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","6.66","increasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","AlcoPlus Classic Ethyl 70% Alcohol 500ml with moisturizer","84.0","4.91","Rank 6 in Group: This product stood out due to its high rating of 4.91, reflecting strong user satisfaction. It also offers good value at ₱84.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","5.55","increasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","CASINO FEMME DUAL MOISTURIZER (ETHYL ALCOHOL) 70% SOLUTION 60ML/150ML/250ML/500ML HMP","37.0","4.9","Rank 7 in Group: This product stood out due to its high rating of 4.90, reflecting strong user satisfaction. It also offers good value at ₱37.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","12.58","increasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Cleene Ethyl Alcohol 70% 500ml 3s","261.0","4.93","Rank 8 in Group: This product stood out due to its high rating of 4.93, reflecting strong user satisfaction. It also offers good value at ₱261.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.79","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","GREEN CROSS 70% Alcohol with Moisturizer 500mL","103.0","4.9","Rank 9 in Group: This product stood out due to its high rating of 4.90, reflecting strong user satisfaction. It also offers good value at ₱103.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.52","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","70% ETHYL ALCOHOL DISINFECTANT ANTISEPTIC 1 GALLON, 1 LITER, 2 LITERS WITH FREE","129.0","4.9","Rank 10 in Group: This product stood out due to its high rating of 4.90, reflecting strong user satisfaction. It also offers good value at ₱129.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","3.61","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Cleene Ethyl Alcohol bundles 500mL","284.0","4.92","Rank 11 in Group: This product stood out due to its high rating of 4.92, reflecting strong user satisfaction. It also offers good value at ₱284.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.65","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Hygienix Germ Kill Alcohol with Moisturizer 500mL","88.0","4.89","Rank 12 in Group: This product stood out due to its high rating of 4.89, reflecting strong user satisfaction. It also offers good value at ₱88.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","5.28","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","CASINO Ethyl Alcohol 70% Solution Regular 500ml","99.0","4.89","Rank 13 in Group: This product stood out due to its high rating of 4.89, reflecting strong user satisfaction. It also offers good value at ₱99.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.69","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:26 a.m.","CURAD Alcohol Prep Pads (Pack of 4 Boxes) | 400 Pieces of Medium Isopropyl Alcohol Wipes Individually Wrapped | First Aid ...","5.0","4.8","Rank 14 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱5.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","96.00","stable","Top Pick"
"99a6229d54","April 20, 2025, 7:25 a.m.","Vunguard 70% Isopropyl Disinfectant Antiseptic Alcohol Gallon with Free Kojic Soap 1pc","185.0","4.89","Rank 24 in Group: This product stood out due to its high rating of 4.89, reflecting strong user satisfaction. It also offers good value at ₱185.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","2.51","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Uni Alco Safe 70% Alcohol Isopropyl 3.2 Liter","412.0","4.92","Rank 25 in Group: This product stood out due to its high rating of 4.92, reflecting strong user satisfaction. It also offers good value at ₱412.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.13","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Green Cross Alcohol 70% Isopropyl 3785mL","671.0","4.94","Rank 26 in Group: This product stood out due to its high rating of 4.94, reflecting strong user satisfaction. It also offers good value at ₱671.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","0.70","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:26 a.m.","Swan Isopropyl Alcohol, 99%, Pint, 16 OZ","6.0","4.8","Rank 15 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱6.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","80.00","increasing","Consider with Caution"
"99a6229d54","April 20, 2025, 7:26 a.m.","Amazon Basics 99% Isopropyl Alcohol First Aid For Technical Use,16 Fluid Ounces, 1-Pack (Previously Solimo)","7.0","4.8","Rank 16 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱7.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","68.57","stable","Recommended"
"99a6229d54","April 20, 2025, 7:26 a.m.","Amazon Basics 70% Isopropyl Alcohol First Aid Antiseptic for Treatment of Minor Cuts and Scrapes, Unscented, 32 Fl Oz (Pac...","9.0","4.8","Rank 17 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱9.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","53.33","decreasing","Recommended"
"99a6229d54","April 20, 2025, 7:26 a.m.","ForPro Professional Collection 99% Isopropyl Alcohol (IPA), Pure & Unadulterated Concentrated Alcohol, 32 Fl Oz (960ml)","11.0","4.8","Rank 18 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱11.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","43.64","increasing","Consider with Caution"
"99a6229d54","April 20, 2025, 7:26 a.m.","Amazon Basics 91% Isopropyl Alcohol First Aid Antiseptic, Unscented 32 Fl Oz (Pack of 1) (Previously Solimo)","12.0","4.8","Rank 19 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱12.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","40.00","increasing","Low Priority"
"99a6229d54","April 20, 2025, 7:26 a.m.","MaxTite Isopropyl Alcohol 99.9% (1 Gallon (32oz, 4 Pack))","25.0","4.8","Rank 20 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱25.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","19.20","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:24 a.m.","Harriet 70% Ethyl Alcohol With Moisturizer 1 Gallon, 1 Liter, 2 Liters Only","109.0","4.86","Rank 27 in Group: This product stood out due to its high rating of 4.86, reflecting strong user satisfaction. It also offers good value at ₱109.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","4.24","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:24 a.m.","Harriet 70% Ethyl Alcohol Disinfectant & Antiseptic","119.0","4.86","Rank 28 in Group: This product stood out due to its high rating of 4.86, reflecting strong user satisfaction. It also offers good value at ₱119.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","3.88","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Casino Alcohol 70% Dual Moisture 250ml","66.0","4.85","Rank 29 in Group: This product stood out due to its high rating of 4.85, reflecting strong user satisfaction. It also offers good value at ₱66.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","6.98","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:26 a.m.","Swan 70 Isopropyl Alcohol First Aid Antiseptic, Clear, 192 Fl Oz","26.0","4.8","Rank 21 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱26.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","18.46","stable","Low Priority"
"99a6229d54","April 20, 2025, 7:26 a.m.","MaxTite Isopropyl Alcohol 99.9% (1 Gallon)","30.0","4.8","Rank 22 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱30.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","16.00","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:26 a.m.","Isopropyl Alcohol Grade 99% Anhydrous - 4 Gallon","68.0","4.8","Rank 23 in Group: This product stood out due to its high rating of 4.80, reflecting strong user satisfaction. It also offers good value at ₱68.00, making it more affordable compared to others in its category. Being listed on Amazon, a platform with a trust score of 1.00, adds to its reliability. Availability is also a plus, as the item is currently in stock.","1.00","7.06","increasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","Haijay Ethyl Alcohol 70% Solution 1 Gallon","149.0","4.86","Rank 30 in Group: This product stood out due to its high rating of 4.86, reflecting strong user satisfaction. It also offers good value at ₱149.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","3.10","decreasing","Low Priority"
"99a6229d54","April 20, 2025, 7:25 a.m.","WATSONS Isopropyl 70% Alcohol GALLON","550.0","4.91","Rank 31 in Group: This product stood out due to its high rating of 4.91, reflecting strong user satisfaction. It also offers good value at ₱550.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","0.85","increasing","Low Priority"
"99a6229d54","April 20, 2025, 7:24 a.m.","Member's Value 70% Ethyl Alcohol 1gal","414.0","4.89","Rank 32 in Group: This product stood out due to its high rating of 4.89, reflecting strong user satisfaction. It also offers good value at ₱414.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.12","stable","Low Priority"
